processor,sampleRate,blockSize,channels,averageUs,p99Us,memoryBytes,latencySamples,simdSpeedup,callbackBudgetPercent
smoothed_gain,44100,64,1,0.057,0.100,112,0,1.000,0.004
one_pole,44100.000,64,1,0.207,0.200,24,0,1.000,0.014
biquad,44100.000,64,1,0.342,0.400,160,0,1.000,0.024
state_variable_filter,44100.000,64,1,0.399,0.400,64,0,1.000,0.028
linkwitz_riley,44100.000,64,1,0.958,1.100,1176,0,1.000,0.066
waveshaper,44100.000,64,1,0.467,0.700,12,0,1.000,0.032
dynamic_waveshaper,44100.000,64,1,0.369,0.400,48,0,1.000,0.025
noise_gate,44100.000,64,1,0.975,1.000,256,0,1.000,0.067
compressor,44100.000,64,1,0.661,0.700,296,0,1.000,0.046
peak_limiter,44100.000,64,1,0.424,0.500,7216,44,1.000,0.029
oversampler1x,44100.000,64,1,0.126,0.200,452,0,1.000,0.009
oversampler2x,44100.000,64,1,1.104,1.200,844,8,1.000,0.076
oversampler4x,44100.000,64,1,2.569,2.600,1484,8,1.000,0.177
oversampler8x,44100.000,64,1,5.673,7.900,2764,8,1.000,0.391
direct_convolver,44100.000,64,1,7.205,10.200,2128,0,1.000,0.496
partitioned_convolver,44100.000,64,1,4.731,6.300,65760,0,1.000,0.326
crossfading_convolver,44100.000,64,1,1.762,1.800,1048,0,1.000,0.121
bass_split,44100.000,64,1,2.022,2.100,1560,0,1.000,0.139
metering_baseline,44100.000,64,1,0.018,0.100,0,0,1.000,0.001
meter_bank,44100.000,64,1,0.319,1.600,2444264,0,1.000,0.022
metering_overhead,44100.000,64,1,0.302,1.500,2444264,0,1.000,0.021
spectrum_analyzer,44100.000,64,1,8.978,9.100,32944,0,1.000,0.619
waveform_history,44100.000,64,1,0.021,0.100,16392,0,1.000,0.001
mode_crossfader,44100.000,64,1,0.094,0.100,640,0,1.000,0.006
gain_scalar,44100.000,64,1,0.029,0.100,0,0,1.000,0.002
gain_simd,44100.000,64,1,0.019,0.100,0,0,1.532,0.001
smoothed_gain,44100.000,64,2,0.060,0.100,112,0,1.000,0.004
one_pole,44100.000,64,2,0.374,0.400,24,0,1.000,0.026
biquad,44100.000,64,2,0.349,0.400,160,0,1.000,0.024
state_variable_filter,44100.000,64,2,0.770,0.800,64,0,1.000,0.053
linkwitz_riley,44100.000,64,2,1.012,1.100,1688,0,1.000,0.070
waveshaper,44100.000,64,2,0.899,0.900,12,0,1.000,0.062
dynamic_waveshaper,44100.000,64,2,0.695,0.700,48,0,1.000,0.048
noise_gate,44100.000,64,2,1.031,1.100,256,0,1.000,0.071
compressor,44100.000,64,2,1.088,1.100,296,0,1.000,0.075
peak_limiter,44100.000,64,2,0.496,0.500,7216,44,1.000,0.034
oversampler1x,44100.000,64,2,0.241,0.300,744,0,1.000,0.017
oversampler2x,44100.000,64,2,2.220,3.500,1460,8,1.000,0.153
oversampler4x,44100.000,64,2,4.649,4.700,2676,8,1.000,0.320
oversampler8x,44100.000,64,2,10.373,12.500,5108,8,1.000,0.715
direct_convolver,44100.000,64,2,13.830,19.100,4176,0,1.000,0.953
partitioned_convolver,44100.000,64,2,9.593,13.100,131296,0,1.000,0.661
crossfading_convolver,44100.000,64,2,3.503,3.600,1560,0,1.000,0.241
bass_split,44100.000,64,2,2.975,3.000,2072,0,1.000,0.205
metering_baseline,44100.000,64,2,0.019,0.100,0,0,1.000,0.001
meter_bank,44100.000,64,2,0.603,3.100,2444264,0,1.000,0.042
metering_overhead,44100.000,64,2,0.584,3.000,2444264,0,1.000,0.040
spectrum_analyzer,44100.000,64,1,8.973,11.300,32944,0,1.000,0.618
waveform_history,44100.000,64,1,0.020,0.100,16392,0,1.000,0.001
mode_crossfader,44100.000,64,2,0.127,0.200,1152,0,1.000,0.009
gain_scalar,44100.000,64,2,0.042,0.100,0,0,1.000,0.003
gain_simd,44100.000,64,2,0.023,0.100,0,0,1.787,0.002
smoothed_gain,48000.000,128,1,0.071,0.100,112,0,1.000,0.003
one_pole,48000.000,128,1,0.374,0.400,24,0,1.000,0.014
biquad,48000.000,128,1,0.641,0.800,160,0,1.000,0.024
state_variable_filter,48000.000,128,1,0.784,0.800,64,0,1.000,0.029
linkwitz_riley,48000.000,128,1,1.944,2.000,1688,0,1.000,0.073
waveshaper,48000.000,128,1,1.293,1.700,12,0,1.000,0.049
dynamic_waveshaper,48000.000,128,1,0.720,0.800,48,0,1.000,0.027
noise_gate,48000.000,128,1,1.932,2.000,256,0,1.000,0.072
compressor,48000.000,128,1,1.306,1.400,296,0,1.000,0.049
peak_limiter,48000.000,128,1,0.826,0.900,7840,48,1.000,0.031
